product_id,product_name,category,brand,price,discount,stock,description,image_url,rating
P001,Product 1,Category 2,Brand 2,110.5,1,3,Sample description for product 1.,/static/images/products/product.jpg,3.7
P002,Product 2,Category 3,Brand 3,121,2,6,Sample description for product 2.,/static/images/products/product.jpg,3.9
P003,Product 3,Category 4,Brand 4,131.5,3,9,Sample description for product 3.,/static/images/products/product.jpg,4.1
P004,Product 4,Category 5,Brand 5,142,4,12,Sample description for product 4.,/static/images/products/product.jpg,4.3
P005,Product 5,Category 6,Brand 1,152.5,5,15,Sample description for product 5.,/static/images/products/product.jpg,3.5
P006,Product 6,Category 7,Brand 2,163,6,18,Sample description for product 6.,/static/images/products/product.jpg,3.7
P007,Product 7,Category 8,Brand 3,173.5,7,21,Sample description for product 7.,/static/images/products/product.jpg,3.9
P008,Product 8,Category 9,Brand 4,184,8,24,Sample description for product 8.,/static/images/products/product.jpg,4.1
P009,Product 9,Category 10,Brand 5,194.5,9,27,Sample description for product 9.,/static/images/products/product.jpg,4.3
P010,Product 10,Category 1,Brand 1,205,10,30,Sample description for product 10.,/static/images/products/product.jpg,3.5
P011,Product 11,Category 2,Brand 2,215.5,11,33,Sample description for product 11.,/static/images/products/product.jpg,3.7
P012,Product 12,Category 3,Brand 3,226,12,36,Sample description for product 12.,/static/images/products/product.jpg,3.9
P013,Product 13,Category 4,Brand 4,236.5,13,39,Sample description for product 13.,/static/images/products/product.jpg,4.1
P014,Product 14,Category 5,Brand 5,247,14,42,Sample description for product 14.,/static/images/products/product.jpg,4.3
P015,Product 15,Category 6,Brand 1,257.5,15,45,Sample description for product 15.,/static/images/products/product.jpg,3.5
P016,Product 16,Category 7,Brand 2,268,16,48,Sample description for product 16.,/static/images/products/product.jpg,3.7
P017,Product 17,Category 8,Brand 3,278.5,17,51,Sample description for product 17.,/static/images/products/product.jpg,3.9
P018,Product 18,Category 9,Brand 4,289,18,54,Sample description for product 18.,/static/images/products/product.jpg,4.1
P019,Product 19,Category 10,Brand 5,299.5,19,57,Sample description for product 19.,/static/images/products/product.jpg,4.3
P020,Product 20,Category 1,Brand 1,310,20,60,Sample description for product 20.,/static/images/products/product.jpg,3.5
P021,Product 21,Category 2,Brand 2,320.5,21,63,Sample description for product 21.,/static/images/products/product.jpg,3.7
P022,Product 22,Category 3,Brand 3,331,22,66,Sample description for product 22.,/static/images/products/product.jpg,3.9
P023,Product 23,Category 4,Brand 4,341.5,23,69,Sample description for product 23.,/static/images/products/product.jpg,4.1
P024,Product 24,Category 5,Brand 5,352,24,72,Sample description for product 24.,/static/images/products/product.jpg,4.3
P025,Product 25,Category 6,Brand 1,362.5,25,75,Sample description for product 25.,/static/images/products/product.jpg,3.5
P026,Product 26,Category 7,Brand 2,373,26,78,Sample description for product 26.,/static/images/products/product.jpg,3.7
P027,Product 27,Category 8,Brand 3,383.5,27,81,Sample description for product 27.,/static/images/products/product.jpg,3.9
P028,Product 28,Category 9,Brand 4,394,28,84,Sample description for product 28.,/static/images/products/product.jpg,4.1
P029,Product 29,Category 10,Brand 5,404.5,29,87,Sample description for product 29.,/static/images/products/product.jpg,4.3
P030,Product 30,Category 1,Brand 1,415,0,90,Sample description for product 30.,/static/images/products/product.jpg,3.5
P031,Product 31,Category 2,Brand 2,425.5,1,93,Sample description for product 31.,/static/images/products/product.jpg,3.7
P032,Product 32,Category 3,Brand 3,436,2,96,Sample description for product 32.,/static/images/products/product.jpg,3.9
P033,Product 33,Category 4,Brand 4,446.5,3,99,Sample description for product 33.,/static/images/products/product.jpg,4.1
P034,Product 34,Category 5,Brand 5,457,4,102,Sample description for product 34.,/static/images/products/product.jpg,4.3
P035,Product 35,Category 6,Brand 1,467.5,5,105,Sample description for product 35.,/static/images/products/product.jpg,3.5
P036,Product 36,Category 7,Brand 2,478,6,108,Sample description for product 36.,/static/images/products/product.jpg,3.7
P037,Product 37,Category 8,Brand 3,488.5,7,111,Sample description for product 37.,/static/images/products/product.jpg,3.9
P038,Product 38,Category 9,Brand 4,499,8,114,Sample description for product 38.,/static/images/products/product.jpg,4.1
P039,Product 39,Category 10,Brand 5,509.5,9,117,Sample description for product 39.,/static/images/products/product.jpg,4.3
P040,Product 40,Category 1,Brand 1,520,10,120,Sample description for product 40.,/static/images/products/product.jpg,3.5
P041,Product 41,Category 2,Brand 2,530.5,11,123,Sample description for product 41.,/static/images/products/product.jpg,3.7
P042,Product 42,Category 3,Brand 3,541,12,126,Sample description for product 42.,/static/images/products/product.jpg,3.9
P043,Product 43,Category 4,Brand 4,551.5,13,129,Sample description for product 43.,/static/images/products/product.jpg,4.1
P044,Product 44,Category 5,Brand 5,562,14,132,Sample description for product 44.,/static/images/products/product.jpg,4.3
P045,Product 45,Category 6,Brand 1,572.5,15,135,Sample description for product 45.,/static/images/products/product.jpg,3.5
P046,Product 46,Category 7,Brand 2,583,16,138,Sample description for product 46.,/static/images/products/product.jpg,3.7
P047,Product 47,Category 8,Brand 3,593.5,17,141,Sample description for product 47.,/static/images/products/product.jpg,3.9
P048,Product 48,Category 9,Brand 4,604,18,144,Sample description for product 48.,/static/images/products/product.jpg,4.1
P049,Product 49,Category 10,Brand 5,614.5,19,147,Sample description for product 49.,/static/images/products/product.jpg,4.3
P050,Product 50,Category 1,Brand 1,625,20,150,Sample description for product 50.,/static/images/products/product.jpg,3.5
P051,Product 51,Category 2,Brand 2,635.5,21,153,Sample description for product 51.,/static/images/products/product.jpg,3.7
P052,Product 52,Category 3,Brand 3,646,22,156,Sample description for product 52.,/static/images/products/product.jpg,3.9
P053,Product 53,Category 4,Brand 4,656.5,23,159,Sample description for product 53.,/static/images/products/product.jpg,4.1
P054,Product 54,Category 5,Brand 5,667,24,162,Sample description for product 54.,/static/images/products/product.jpg,4.3
P055,Product 55,Category 6,Brand 1,677.5,25,165,Sample description for product 55.,/static/images/products/product.jpg,3.5
P056,Product 56,Category 7,Brand 2,688,26,168,Sample description for product 56.,/static/images/products/product.jpg,3.7
